Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
India,540,148.33333333333334,3.64,540,1,won,Bangladesh,Chattogram,2004-12-17,0,10
South Africa,540,152.83333333333334,3.53,540,1,draw,India,Chennai,2008-03-26,0,10
South Africa,540,160.16666666666666,3.37,538,3,won,Australia,Perth,2016-11-03,1,8
Australia,539,201.33333333333331,2.67,83,2,draw,England,Nottingham,1985-07-11,0,10
New Zealand,539,148.33333333333334,3.63,-56,2,won,Bangladesh,Wellington,2017-01-12,0,10
Pakistan,538,141.66666666666666,3.79,23,2,lost,England,Leeds,2006-08-04,0,10
Australia,538,135.0,3.98,538,1,won,Pakistan,Sydney,2017-01-03,1,8
Pakistan,537,152.16666666666666,3.52,276,3,draw,Australia,Rawalpindi,1994-10-05,0,10
India,537,167.5,3.2,537,1,draw,Sri Lanka,Colombo (RPS),1997-08-02,1,8
Sri Lanka,537,199.0,2.69,178,3,draw,England,Lord's,2006-05-11,0,9
Pakistan,537,168.16666666666666,3.19,-89,2,draw,India,Bengaluru,2007-12-08,0,10
Sri Lanka,537,155.0,3.46,537,1,won,Zimbabwe,Harare,2016-10-29,0,10
England,537,159.5,3.36,537,1,draw,India,Rajkot,2016-11-09,0,10
West Indies,536,162.5,3.29,551,3,won,Australia,Bridgetown,1991-04-19,1,9
India,536,132.0,4.06,536,1,won,Zimbabwe,Delhi,1993-03-13,1,7
West Indies,536,160.0,3.35,397,2,won,Bangladesh,Dhaka,2002-12-08,0,10
India,536,127.83333333333331,4.19,536,1,draw,Sri Lanka,Delhi,2017-12-02,1,7
Australia,535,157.66666666666666,3.39,265,2,won,New Zealand,Adelaide,2008-11-28,0,10
New Zealand,534,162.83333333333334,3.27,534,1,draw,Australia,Perth,2001-11-30,1,9
Australia,534,132.0,4.04,534,1,won,Sri Lanka,Canberra,2019-02-01,1,5
England,533,125.0,4.26,202,2,won,Australia,Leeds,1985-06-13,0,10
Sri Lanka,533,163.16666666666666,3.26,82,2,won,Pakistan,Galle,2014-08-06,1,9
South Africa,532,145.0,3.66,532,1,draw,West Indies,Cape Town,2004-01-02,0,10
India,532,138.33333333333334,3.84,69,2,lost,Australia,Sydney,2008-01-02,0,10
Australia,531,160.83333333333334,3.3,266,2,won,West Indies,Kingston,1995-04-29,0,10
West Indies,530,151.83333333333334,3.49,530,1,draw,India,Eden Gardens,1987-12-26,1,5
Australia,530,142.5,3.71,530,1,draw,India,Melbourne,2014-12-26,0,10
South Africa,529,162.83333333333334,3.24,529,1,won,India,Cape Town,1997-01-02,1,7
England,529,191.0,2.76,249,3,draw,Sri Lanka,Lord's,2002-05-16,1,5
South Africa,529,129.0,4.1,529,1,won,Bangladesh,East London,2002-10-18,1,4
Australia,528,158.0,3.34,242,2,won,England,Lord's,1989-06-22,0,10
Sri Lanka,528,139.83333333333334,3.77,294,2,won,Pakistan,Lahore,2002-03-06,0,10
England,528,112.0,4.71,420,2,won,Bangladesh,Lord's,2005-05-26,1,3
Australia,528,146.66666666666666,3.6,490,3,draw,South Africa,Perth,2005-12-16,1,8
England,528,158.5,3.33,528,1,draw,Pakistan,Lord's,2006-07-13,1,9
India,527,170.0,3.1,40,2,draw,Pakistan,Chennai,1987-02-03,1,9
Australia,527,112.0,4.7,556,3,won,England,Perth,2006-12-14,1,5
West Indies,527,144.0,3.65,527,1,won,Bangladesh,Mirpur,2012-11-13,1,4
Australia,527,146.0,3.6,527,1,draw,England,Manchester,2013-08-01,1,7
